size,task,subnets,ep5_better,ep20_better,ties,mean_delta_20_minus_5,max_worsen_20_minus_5,max_improve_20_minus_5
small,temporal,9,4,5,0,0.0007512768117917833,0.013442566923797222,-0.004156239002943096
small,fre,9,6,3,0,0.00197409827303558,0.008953028079122405,-0.0026828575953840583
little,temporal,9,1,8,0,-0.021096730170150586,0.013351154021918776,-0.036596281394362384
little,fre,9,0,9,0,-0.00964039851890669,-0.0024582748934625087,-0.015784697085618915
