family,size_label,label,task,width_multiplier,depth_multiplier,nmse,latency_ms,macs_g,params_m
raw_dynamic_size,small,w0.5_d0.5,temporal,0.5,0.5,0.5727691618800164,2.460756006836891,0.08257536,5.448064
raw_dynamic_size,small,w0.5_d0.5,fre,0.5,0.5,0.4171444644629955,2.2899767994880675,0.08257536,5.448064
raw_dynamic_size,small,w0.125_d0.5,temporal,0.125,0.5,0.6778601351082325,2.301634782552719,0.02064384,5.448064
raw_dynamic_size,small,w0.125_d0.5,fre,0.125,0.5,0.4893703034222126,2.30309479534626,0.02064384,5.448064
raw_dynamic_size,small,w1_d0.166667,temporal,1.0,0.166667,0.6617646934986114,2.041696810722351,0.05505024,5.448064
raw_dynamic_size,small,w1_d0.166667,fre,1.0,0.166667,0.4750350441932678,2.0432000130414965,0.05505024,5.448064
raw_dynamic_size,small,w0.5_d0.166667,temporal,0.5,0.166667,0.669674458682537,2.050022009015083,0.02752512,5.448064
raw_dynamic_size,small,w0.5_d0.166667,fre,0.5,0.166667,0.477507431268692,2.032673990726471,0.02752512,5.448064
raw_dynamic_size,small,w0.125_d0.166667,temporal,0.125,0.166667,0.6980374302268029,2.048003602027893,0.00688128,5.448064
raw_dynamic_size,small,w0.125_d0.166667,fre,0.125,0.166667,0.5082202562689782,2.050766408443451,0.00688128,5.448064
raw_dynamic_size,base,w1_d1,temporal,1.0,1.0,0.23743959054350855,3.588881602883339,1.264582656,21.512832
raw_dynamic_size,base,w1_d1,fre,1.0,1.0,0.23256916242837905,3.579379606246948,1.264582656,21.512832
raw_dynamic_size,base,w0.5_d1,temporal,0.5,1.0,0.30048024921119215,3.585962411761284,0.632291328,21.512832
raw_dynamic_size,base,w0.5_d1,fre,0.5,1.0,0.30682217600196604,3.588744804263115,0.632291328,21.512832
raw_dynamic_size,base,w0.125_d1,temporal,0.125,1.0,0.4965554218888283,3.599715995788574,0.158072832,21.512832
raw_dynamic_size,base,w0.125_d1,fre,0.125,1.0,0.4573625343441963,3.596794384717941,0.158072832,21.512832
raw_dynamic_size,base,w1_d0.5,temporal,1.0,0.5,0.3323282304406166,3.2363675832748413,0.632291328,21.512832
raw_dynamic_size,base,w1_d0.5,fre,1.0,0.5,0.3666889394819736,3.235706788301468,0.632291328,21.512832
raw_dynamic_size,base,w0.5_d0.5,temporal,0.5,0.5,0.3696698424220085,3.256114384531975,0.316145664,21.512832
raw_dynamic_size,base,w0.5_d0.5,fre,0.5,0.5,0.4044650603234768,3.2380363911390306,0.316145664,21.512832
raw_dynamic_size,base,w0.125_d0.5,temporal,0.125,0.5,0.5046052642762661,3.2562235891819,0.079036416,21.512832
raw_dynamic_size,base,w0.125_d0.5,fre,0.125,0.5,0.47907410748302937,3.2583704024553297,0.079036416,21.512832
raw_dynamic_size,base,w1_d0.166667,temporal,1.0,0.166667,0.5090524252951145,2.9949367970228193,0.210763776,21.512832
raw_dynamic_size,base,w1_d0.166667,fre,1.0,0.166667,0.48272622720897196,2.9995879977941513,0.210763776,21.512832
raw_dynamic_size,base,w0.5_d0.166667,temporal,0.5,0.166667,0.5176252436637878,3.00208438038826,0.105381888,21.512832
raw_dynamic_size,base,w0.5_d0.166667,fre,0.5,0.166667,0.49809132857620714,3.0168235868215563,0.105381888,21.512832
raw_dynamic_size,base,w0.125_d0.166667,temporal,0.125,0.166667,0.5294230127930641,3.010642406344414,0.026345472,21.512832
raw_dynamic_size,base,w0.125_d0.166667,fre,0.125,0.166667,0.49171038341522216,3.006022793054581,0.026345472,21.512832
