size,raw_temporal,ep5_temporal,ep20_temporal,raw_fre,ep5_fre,ep20_fre
tiny,0.3157000163048506,0.3580586259961127,,0.3434937118291855,0.3669338027089834,
little,0.2701567163839936,0.2737159209772944,0.2870670749992132,0.2596076050400734,0.2818916515484451,0.2794333766549826
small,0.244547417089343,0.2375159360095858,0.250958502933383,0.2393809677809476,0.2240313198454677,0.2329843479245901
base,0.2374416190423071,0.2181236033216118,,0.231791982922703,0.2190446563996374,
