family,size_label,label,task,width_multiplier,depth_multiplier,nmse,latency_ms,macs_g,params_m,checkpoint
strujepa_size,small,w0.5_d0.5,temporal,0.5,0.5,0.26742575323581697,2.3213723987340926,0.08257536,5.448064,/home/users/dky/StruJEPA/runs/wifo_small_strujepa_gpu0_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,small,w0.5_d0.5,fre,0.5,0.5,0.24229044118151066,2.3288067847490312,0.08257536,5.448064,/home/users/dky/StruJEPA/runs/wifo_small_strujepa_gpu0_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,small,w0.125_d0.5,temporal,0.125,0.5,0.2855764724910259,2.318956795334816,0.02064384,5.448064,/home/users/dky/StruJEPA/runs/wifo_small_strujepa_gpu0_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,small,w0.125_d0.5,fre,0.125,0.5,0.2583565447852016,2.326835203170776,0.02064384,5.448064,/home/users/dky/StruJEPA/runs/wifo_small_strujepa_gpu0_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,small,w1_d0.166667,temporal,1.0,0.166667,0.28052197909355164,2.05034801363945,0.05505024,5.448064,/home/users/dky/StruJEPA/runs/wifo_small_strujepa_gpu0_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,small,w1_d0.166667,fre,1.0,0.166667,0.2591845770329237,2.05009962618351,0.05505024,5.448064,/home/users/dky/StruJEPA/runs/wifo_small_strujepa_gpu0_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,small,w0.5_d0.166667,temporal,0.5,0.166667,0.2901290324032307,2.059283185005188,0.02752512,5.448064,/home/users/dky/StruJEPA/runs/wifo_small_strujepa_gpu0_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,small,w0.5_d0.166667,fre,0.5,0.166667,0.2645606449842453,2.064158391952515,0.02752512,5.448064,/home/users/dky/StruJEPA/runs/wifo_small_strujepa_gpu0_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,small,w0.125_d0.166667,temporal,0.125,0.166667,0.2971003285348416,2.0537527918815615,0.00688128,5.448064,/home/users/dky/StruJEPA/runs/wifo_small_strujepa_gpu0_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,small,w0.125_d0.166667,fre,0.125,0.166667,0.27002433382719754,2.0523223996162416,0.00688128,5.448064,/home/users/dky/StruJEPA/runs/wifo_small_strujepa_gpu0_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,little,w1_d1,temporal,1.0,1.0,0.27371592097729447,2.3492484033107757,0.089653248,1.396992,/home/users/dky/StruJEPA/runs/wifo_little_strujepa_gpu1_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,little,w1_d1,fre,1.0,1.0,0.28189165154844514,2.3552579909563063,0.089653248,1.396992,/home/users/dky/StruJEPA/runs/wifo_little_strujepa_gpu1_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,little,w0.5_d1,temporal,0.5,1.0,0.3270101508945227,2.366497603058815,0.044826624,1.396992,/home/users/dky/StruJEPA/runs/wifo_little_strujepa_gpu1_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,little,w0.5_d1,fre,0.5,1.0,0.30016815054416657,2.3794256061315537,0.044826624,1.396992,/home/users/dky/StruJEPA/runs/wifo_little_strujepa_gpu1_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,little,w0.125_d1,temporal,0.125,1.0,0.3477190823405982,2.3822303980588915,0.011206656,1.396992,/home/users/dky/StruJEPA/runs/wifo_little_strujepa_gpu1_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,little,w0.125_d1,fre,0.125,1.0,0.31639653602242473,2.3922975927591326,0.011206656,1.396992,/home/users/dky/StruJEPA/runs/wifo_little_strujepa_gpu1_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,little,w1_d0.5,temporal,1.0,0.5,0.3312070862501859,2.0015540048480034,0.044826624,1.396992,/home/users/dky/StruJEPA/runs/wifo_little_strujepa_gpu1_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,little,w1_d0.5,fre,1.0,0.5,0.2984837870597839,2.01004401743412,0.044826624,1.396992,/home/users/dky/StruJEPA/runs/wifo_little_strujepa_gpu1_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,little,w0.5_d0.5,temporal,0.5,0.5,0.33449574729800224,2.0151243820786475,0.022413312,1.396992,/home/users/dky/StruJEPA/runs/wifo_little_strujepa_gpu1_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,little,w0.5_d0.5,fre,0.5,0.5,0.3031470343843103,2.017208790779114,0.022413312,1.396992,/home/users/dky/StruJEPA/runs/wifo_little_strujepa_gpu1_anchor_random_20260413_103234/strujepa_wifo_last.pt
